Date,Day,Pet,Dies,HSP
10-5,Mon,3918,6960,918
1-20,Wed,3499,4355,139
5-7,Sat,3642,3628,219
6-20,Sat,4590,8765,489
10-6,Tue,2818,4878,971
1-21,Thu,3262,4115,264
5-8,Sun,3793,5678,170
6-21,Sun,4364,6481,426
10-7,Wed,3289,8528,804
1-22,Fri,3321,3782,482
5-9,Mon,3556,3952,163
6-22,Mon,4659,9714,413
10-8,Thu,3676,8039,597
1-23,Sat,3209,3602,227
5-10,Tue,3390,4427,111
6-23,Tue,4564,6536,512
10-9,Fri,3330,9599,441
1-24,Sun,3727,3775,138
5-11,Wed,3307,3178,155
6-24,Wed,5178,4690,265
10-10,Sat,3104,6965,512
1-25,Mon,3703,3526,160
5-12,Thu,3385,4468,357
6-25,Thu,3985,6547,296
10-11,Sun,3696,6345,411
1-26,Tue,3081,3862,164
5-13,Fri,3335,4686,379
6-26,Fri,3808,6337,335
10-12,Mon,4803,5102,369
1-27,Wed,2847,5593,363
5-14,Sat,3050,5080,282
6-27,Sat,3195,6376,396
10-13,Tue,4522,7657,425
1-28,Thu,3809,4505,279
5-15,Sun,3176,3487,159
6-28,Sun,3507,6106,310
10-14,Wed,5003,7084,317
1-29,Fri,3440,4557,158
5-16,Mon,3823,4437,159
6-29,Mon,3482,6298,458
10-15,Thu,3641,9238,389
1-30,Sat,3219,3740,281
5-17,Tue,3264,4453,169
6-30,Tue,4387,6320,465
10-16,Fri,3725,13769,415
1-31,Sun,3450,4950,441
5-18,Wed,3261,5141,184
7-1,Wed,3320,6563,546
10-17,Sat,3777,9034,368
2-1,Mon,3698,4263,393
5-19,Thu,3131,5889,135
7-2,Thu,3754,4152,235
10-18,Sun,4423,6859,411
2-2,Tue,3478,4574,498
5-20,Fri,3503,5323,47
7-3,Fri,3208,6358,296
10-19,Mon,5412,7750,521
2-3,Wed,3563,4211,169
5-21,Sat,3242,3162,313
7-4,Sat,3221,4511,278
10-20,Tue,5585,9904,359
2-4,Thu,3576,7013,427
5-22,Sun,3072,2991,149
7-5,Sun,4267,6017,354
10-21,Wed,5175,3860,478
2-5,Fri,3267,4164,450
5-23,Mon,3559,4783,134
7-6,Mon,5107,5881,229
10-22,Thu,4066,5220,488
2-6,Sat,3713,3896,264
5-24,Tue,3227,5592,450
7-7,Tue,5344,3676,129
10-23,Fri,4158,7377,623
2-7,Sun,3338,4284,190
5-25,Wed,3050,4532,438
7-8,Wed,4375,5886,362
10-24,Sat,3167,5170,351
2-8,Mon,3201,4437,396
5-26,Thu,3080,4786,512
7-9,Thu,4023,4263,342
10-25,Sun,3355,4775,306
2-9,Tue,2889,4178,112
5-27,Fri,3430,5027,228
7-10,Fri,3218,3703,366
10-26,Mon,3795,8361,307
2-10,Wed,3603,4127,154
5-28,Sat,3346,4834,290
7-11,Sat,2886,3105,298
10-27,Tue,4531,6283,298
2-11,Thu,3476,4956,226
5-29,Sun,2757,5147,301
7-12,Sun,3782,3321,235
10-28,Wed,4602,5977,205
2-12,Fri,3443,4555,256
5-30,Mon,3323,4739,525
7-13,Mon,3912,4192,306
10-29,Thu,4532,7190,296
2-13,Sat,3270,4584,289
5-31,Tue,3708,4577,361
7-14,Tue,3354,4583,353
10-30,Fri,4233,11257,355
2-14,Sun,3342,4513,296
7-15,Wed,4145,4779,255
10-31,Sat,4031,12660,312
2-15,Mon,3169,4030,347
7-16,Thu,2653,2607,269
11-1,Sun,3900,7258,265
2-16,Tue,3421,4877,315
